"date","residents","population","gdp.per.capita","top","bottom","inequality","cars","rentalcars","taxis","buses","motorbikes","other","bus.u","mrt.u","lrt.u","gdp.per.capita.ch","cars.ch","top.ch","bottom.ch","population.ch","bus.u.pop","lrt.u.pop","mrt.u.pop","car.u.pop","non.residents","lcar.u.pop","lgdp","ltop","lbottom"
1995,3013515,3524506,35345.464,113402.46,29156.64,3.88942141481323,342245,5144,16517,10723,129587,137913,3009,740,0,10.4729253462597,12.7432821338402,11.6386983631622,10.2804379531461,15.0752508425637,85.3736665507166,0,20.995850198581,9.71043885299103,510991,NA,NA,NA,NA
1996,3068132,3670704,37030.853,121752.27,30231.9,4.02727813997797,362142,5451,16857,10998,132344,140512,3118,850,0,10.5195067090191,12.7997916790854,11.7097436855349,10.3166529372705,15.1158940272477,84.9428338542143,0,23.1563209673131,9.86573692675846,602572,9.71043885299103,10.4729253462597,11.6386983631622,10.2804379531461
1997,3123403,3796038,39178.612,126460.79,31591.52,4.00299795641362,373345,6152,16933,11240,132629,142905,3116,911,0,10.5758862646331,12.8302582041149,11.7476875786277,10.3606440091311,15.1494684491993,82.0855850231215,0,23.9987060192759,9.83512283069875,672635,9.86573692675846,10.5195067090191,11.7097436855349,10.3166529372705
1998,3180018,3927213,36524.706,130964.13,30026.42,4.36162985797175,370804,6536,17886,11429,133375,141051,3121,946,0,10.5057441873052,12.8234289001022,11.7826787478947,10.3098329397516,15.183440571967,79.4711160306304,0,24.0883293063045,9.44191211426526,747195,9.83512283069875,10.5758862646331,11.7476875786277,10.3606440091311
1999,3229681,3958723,36943.706,139277.67,27180.2,5.1242327135194,378024,7112,18029,11827,134346,139473,3213,986,27,10.5171505735721,12.8427129646497,11.8442248454107,10.2102440460298,15.191432056477,81.1625365048274,0.682038121889306,24.9070217845502,9.54913996255863,729042,9.44191211426526,10.5057441873052,11.7826787478947,10.3098329397516
2000,3273363,4027887,41018.455,156177.54,28242.94,5.52979045382669,386780,8438,18327,12569,131937,134756,3251,1047,39,10.6217773663632,12.8656113349163,11.9587487160361,10.2485987938371,15.2087524788025,80.7122940638603,0.968249605810689,25.9937778790716,9.60255339834509,754524,9.54913996255863,10.5171505735721,11.8442248454107,10.2102440460298
2001,3325902,4138012,38659.651,159140.26,22622.82,7.03450144588517,398787,8857,18798,12902,131869,137157,3281,1071,41,10.5625517253031,12.8961827187451,11.9775412307118,10.0267144103347,15.2357260372351,79.289281906384,0.990813946407115,25.881993575659,9.63716393282571,812110,9.60255339834509,10.6217773663632,11.9587487160361,10.2485987938371
2002,3382944,4175950,39423.341,156838.44,22602.43,6.93900788543533,398166,8423,19106,12992,132318,135951,3197,1081,39,10.5821133310473,12.8946242827378,11.9629715099146,10.0258127016042,15.2448524352929,76.5574300458578,0.933919227960105,25.8863252673044,9.53474059794777,793006,9.63716393282571,10.5625517253031,11.9775412307118,10.0267144103347
2003,3366891,4114826,41069.975,159243.33,25086.59,6.34774714299552,399923,7803,19384,12951,135649,135333,2992,1171,50,10.6230325982336,12.8990273075596,11.9781886887268,10.1300887194024,15.2301071068737,72.7126736343165,1.21511820912962,28.4580684578157,9.7190743909949,747935,9.53474059794777,10.5821133310473,11.9629715099146,10.0258127016042
2004,3413266,4166664,46320.39,161198.37,28106.08,5.73535583759813,412015,7455,20407,13173,137029,137316,2805,1270,55,10.7433375319006,12.9288150354359,11.990390997341,10.243741202024,15.2426262736042,67.3200430848276,1.32000084480054,30.4800195072125,9.88836632855445,753398,9.7190743909949,10.6230325982336,11.9781886887268,10.1300887194024
